index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,local_R_max,local_R_fro,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_affine_residual,cumulative_R_max
"40","SK_Q05W","Quadrupole","Quadrupole","0.17270000000000252","0.1727","2.525757381022231e-15","1.0265319019542307e-6","1.0825157884968146e-6","1","2","1.362308932871016e-9","6.872824418954759e-10","2.8721307884088665e-11","0.0019814209688800988"
"41","D020","Drift","Drift","0.31240000000000023","0.3124","2.220446049250313e-16","4.308878881476019e-8","8.863683501225406e-8","1","2","5.569154637913342e-14","4.74753640940977e-12","8.747961014431149e-11","0.0020589491261896464"
"42","Q05W","Quadrupole","Quadrupole","0.5999999999999979","0.6","2.1094237467877974e-15","4.489024596932012e-6","4.7347617472168246e-6","1","2","6.35301609670097e-9","3.1677502019059056e-9","7.915868611638177e-11","0.002067666232530352"
"43","D021","Drift","Drift","0.17040000000000077","0.1704","7.771561172376096e-16","2.837369270428363e-8","4.252392474163283e-8","5","2","2.0670463379767829e-13","5.3149299197863265e-12","6.35680410220052e-11","0.0020302448939089612"
"44","DET_05W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0020302448939089612"
"45","D022","Drift","Drift","0.3247509999999991","0.324751","8.881784197001252e-16","4.726243163499788e-8","9.573050275722364e-8","3","4","1.3742097311889495e-13","4.763491569237648e-12","9.826732223078283e-11","0.001958926690888374"
"46","B06W","SBend","SBend","3.2379029999999993","3.237903","8.881784197001252e-16","0.00024700000000010824","0.0003475678954616417","3","3","7.677439952220156e-9","7.677070299862355e-9","1.6385908899340285e-10","0.0028079619174299353"
"47","D023","Drift","Drift","0.22719900000000237","0.227199","2.3592239273284576e-15","4.935262151728459e-8","9.084713245470645e-8","3","4","2.850098850612972e-13","3.0045774895848254e-12","1.178865078471647e-10","0.0027713285134751686"
"48","SK_Q06W","Quadrupole","Quadrupole","0.17269999999999897","0.1727","1.0269562977782698e-15","1.4807629336310857e-6","1.5610661746899364e-6","1","2","2.360179131993826e-9","1.1794635094986017e-9","1.275244992070268e-11","0.0027450034213742924"
"49","D024","Drift","Drift","0.31240000000000023","0.3124","2.220446049250313e-16","2.1422463913900458e-8","2.685252910839426e-8","1","2","7.175679582032004e-14","2.0231594177744228e-12","5.322647878003295e-11","0.002694382169682541"
"50","Q06W","Quadrupole","Quadrupole","0.6000000000000014","0.6","1.4432899320127035e-15","1.4840076587585571e-6","1.5753605165954446e-6","1","2","1.7955274957820455e-9","8.979738532616244e-10","3.954474527782109e-10","0.0028029040589387932"
"51","D025","Drift","Drift","0.17639999999999745","0.1764","2.55351295663786e-15","1.3226058655702234e-8","1.9118499284115622e-8","3","6","4.0405007585635743e-14","9.507123929254624e-12","7.762645886331965e-12","0.0028955600754940747"
"52","DET_06W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0028955600754940747"
"53","D026","Drift","Drift","0.31875100000000245","0.318751","2.4424906541753444e-15","3.9204649550375126e-8","6.537120840043874e-8","5","6","1.2900556404504205e-13","3.867881709362919e-12","4.27838528493929e-11","0.003062994304892541"
"54","B07W","SBend","SBend","3.2379029999999993","3.237903","8.881784197001252e-16","0.00011209999999994835","0.00015588347750771083","4","4","1.4064502109124174e-9","1.39433522394449e-9","6.401919321811882e-10","0.0031946999853484925"
"55","D027","Drift","Drift","0.2980090000000004","0.298009","3.885780586188048e-16","3.905844541621267e-8","5.934840833299e-8","5","6","5.036862275256111e-14","3.997720557369355e-12","4.4822819067480424e-11","0.0033681917872687706"
