index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,local_R_max,local_R_fro,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_affine_residual,cumulative_R_max
"105","D052","Drift","Drift","0.15713999999999828","0.15714","1.7208456881689926e-15","4.838483445581731e-8","8.552825688461175e-8","5","6","7.867522924633965e-14","6.682988364092868e-12","2.3603280029267648e-11","0.0027733814423456238"
"106","Q12W","Quadrupole","Quadrupole","0.6000000000000085","0.6","8.548717289613705e-15","4.6114120355600363e-7","5.165696442955707e-7","1","2","3.204938975064715e-10","1.6121199514218532e-10","3.7233249990109574e-10","0.002446882593776678"
"107","D053","Drift","Drift","0.06414999999999793","0.06415","2.067790383364354e-15","3.016251001096369e-8","4.415083873609775e-8","5","2","2.8848447607862873e-18","2.278505509267781e-12","2.05058366120614e-12","0.002424884620428003"
"108","SEX_12W","Sextupole","Sextupole","0.27200000000000557","0.272","5.551115123125783e-15","1.2108308131142387e-5","1.710609355231051e-5","1","2","1.763010438897742e-10","8.939214071616828e-11","2.953706310007501e-10","0.0023527141401125107"
"109","D054","Drift","Drift","0.026550000000000296","0.02655","2.949029909160572e-16","4.113613946286909e-8","5.984888902870145e-8","5","4","1.953753577209758e-18","4.176269925585188e-12","4.497860004099626e-12","0.0023436734309605356"
"110","DET_12W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0023436734309605356"
"111","D055","Drift","Drift","0.9703399999999931","0.97034","6.8833827526759706e-15","4.772595807445157e-8","7.33312549991748e-8","1","2","4.086679289992447e-17","7.52159110413127e-12","7.421313997363344e-12","0.00201310195181037"
"112","B13W","SBend","SBend","6.5742620000000045","6.574262","4.440892098500626e-15","3.220844769601852e-6","4.150013164791187e-6","1","4","8.920875125896716e-12","9.97651440626246e-12","2.192769629066893e-10","0.0027474624830933214"
"113","D056","Drift","Drift","0.15713999999999828","0.15714","1.7208456881689926e-15","4.2833133364262763e-8","8.425265386054269e-8","5","2","7.970528362339663e-18","7.984966854390763e-12","8.26867220526939e-12","0.0027660669416785244"
"114","Q13W","Quadrupole","Quadrupole","0.5999999999999943","0.6","5.662137425588298e-15","2.5019772209589064e-7","2.8204773487341374e-7","1","2","1.436287743938229e-10","7.960221024005953e-11","2.2059034801699337e-10","0.002731245740477506"
"115","D057","Drift","Drift","0.06850000000000023","0.0685","2.220446049250313e-16","3.932170690446046e-8","8.966368836775055e-8","3","4","3.741113353540349e-14","5.1218611600220565e-12","3.379389894005505e-11","0.0027152375756963054"
"116","SEX_13W","Sextupole","Sextupole","0.27200000000000557","0.272","5.551115123125783e-15","3.375823952089796e-5","4.840735286920743e-5","3","4","3.359914296392693e-8","3.369451515369826e-8","3.8277741913617103e-10","0.0026540140591067574"
"117","D058","Drift","Drift","0.04579999999999984","0.0458","1.5959455978986625e-16","4.606041214950942e-8","7.004481824763944e-8","5","6","3.237822329287137e-14","6.251314299109828e-12","1.9929074016045156e-11","0.002643646323148119"
"118","DET_13W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.002643646323148119"
"119","D059","Drift","Drift","0.4867399999999975","0.48674","2.4980018054066022e-15","4.980326946256875e-8","9.651901206239153e-8","5","2","9.689439641328884e-15","5.48410232156793e-12","4.9527696017754447e-11","0.0025334620709788203"
"120","B14W","SBend","SBend","6.5742620000000045","6.574262","4.440892098500626e-15","7.467852581444223e-5","0.00010540939212656353","3","3","2.915413895412398e-9","2.9290250127412257e-9","3.689999391112697e-10","0.003727788348497185"
"121","D060","Drift","Drift","0.15713999999999828","0.15714","1.7208456881689926e-15","4.3800987723495775e-8","7.484332069508266e-8","5","6","2.545015712693418e-14","4.5651763619369845e-12","3.76880540664537e-11","0.0037690583743001937"
"122","Q14W","Quadrupole","Quadrupole","0.5999999999999943","0.6","5.662137425588298e-15","6.68175704099383e-7","6.996818663961866e-7","1","2","3.631498207318782e-10","1.818151653537603e-10","4.765146938059267e-10","0.003737266594492805"
"123","D061","Drift","Drift","0.0651500000000027","0.06515","2.706168622523819e-15","3.683855452629725e-8","5.192642378697987e-8","1","2","1.7335401299213345e-14","6.778498118711895e-12","5.920280758686669e-11","0.003713263669576472"
"124","SEX_14W","Sextupole","Sextupole","0.27200000000000557","0.272","5.551115123125783e-15","6.918627475926975e-7","9.527924130511316e-7","3","4","1.0670071077831867e-9","1.0732164271859412e-9","6.571430457083527e-10","0.00361339804163352"
"125","D062","Drift","Drift","0.026849999999996044","0.02685","3.95516952522712e-15","4.8417664174495606e-8","1.0820100113510265e-7","3","6","1.1299586011286061e-14","2.8377381231658875e-12","7.851210957407484e-11","0.003603522828115713"
"126","DET_14W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.003603522828115713"
"127","D063","Drift","Drift","2.4290400000000005","2.42904","4.440892098500626e-16","4.879362780485508e-8","8.343671103026919e-8","1","2","3.1198731300174465e-12","9.447633647630127e-12","8.967589518182884e-11","0.0027097444264464476"
"128","B15W","SBend","SBend","6.5742620000000045","6.574262","4.440892098500626e-15","0.00012298477979511002","0.0001738086346528067","4","4","7.94943186681955e-10","8.074212088577648e-10","3.5681593900100376e-10","0.0016046684941253275"
